Unnamed: 0,categories,text
19,Africa,"
			Ọlọ́pàá Ṣé Àwárí Òkú Àwọn Awakùsà Kàn Ní Orílẹ̀ Èdè South Africa		. 
    
				Ọlọ́pàá South Africa tí ṣé àwárí àwọn òkú mọkandinlogun kàn tí wọ́n fura sí bí àwọn arufin iwakùsà ní ìlú Krugersdorp ní ìwọ̀-oòrùn Johannesburg.

Ìpè àwọn ará ìlú ní àwọn ọlọ́pàá dáhùn sí bí wọn ṣé rí àwọn òkú náà ní ibí iwakùsà wọ́n ní…			"
695,Nigeria,"
			Àjọ Ọmọ Ogun Ṣe Ikú Pa Olórí Agbésùmọ̀mí Ní Ìpínlẹ̀ Zamfara		. 
    
				Àjọ ọmọ ogun HADARIN DAJI ti se ikú pa méjì nínú àwọn adarí alákatakítí ní ìpínlẹ̀ Zamfara, nígbà tí àwọn tí ó kù sá lọ pẹ̀lúu fífi ara gba ọta ìbọn ní abúlé Doka, ìbílẹ̀ Anka ní ìpínlẹ̀ zamfara.

 …			"
330,Health,"
			Ààrùn Còrónà Kò tíì lọ tán o, WHO Kìlọ̀		. 
    
				Olùdarí Gbogbogbòò, Àjo Àgbáyé ti Ìlera (WHO), Dr Tedros Ghebreyesus, ti kìlọ̀ pé ààrùn Còrónà kò tíì lọ tán o, látàrí  ìjábọ̀ pé àwọn ọ̀ràn COVID-19 àti àwọn ikú ti ń dínkù gidigidi.

Ghebreyesus kilọ…			"
49,World,"
			Ogún Ènìyàn Farapa Níbi Ìṣẹ̀lẹ̀ Ọkọ̀ Ojú Irin Ní Orílẹ̀-Èdè Spain		. 
    
				 

Ọkọ̀ ojú irin tó ń gbé àwọn ènìyàn kọlu ara wọn ní ìlà oòrùn àriwa agbègbè Catalonia ti Orílẹ-èdè Spain ní arọ̀ ọjó ọjọ́rú tí àrùn dín lẹ́gbẹ̀rin ènìyàn sì farapa.

 

Mínísítà fún ètò ìrìnàjò ti Orílẹ-èdè Spain, Raquel…			"
750,Nigeria,"
			Gómìnà ìpínlẹ̀ Kogi ti gbé àwọn ẹ̀ka ètò ẹ̀kọ́ dìde ní ìpínlẹ̀ rẹ̀		. 
    
				Ìjọba Gómìnà Yahaya Bello ti Ìpínlẹ̀ Kogi, ẹkùn àríwá-àrin-gbùngbùn orílẹ̀-èdè Nàìjíríà ti tẹsiwaju láti ṣe àfihàn àwọn ilọsiwaju nla ni eka eto-ẹkọ ní kòpẹ́-kòpẹ́ yìí, o ti bẹ̀rẹ̀ àtúnṣe, atunkọ àti ṣíṣẹ̀dá àwọn oun amayedẹrun láti ṣe…			"
379,Health,"
			Covid-19: Àwọn ènìyàn mèje -dín- ní -okòó-lé-ní-ẹ̀ẹ́dẹ́gbẹ́ta míràn tún ti ní ààrùn…		. 
    
				Ní ọjọ́ kọkànlé-lógún oṣù kẹsàn án,ọdún 2021, ènìyàn mẹ́tàlá –lé –lẹ́ẹ̀dẹ́gbẹ̀ta míràn ló tún ti kó ààrùn covid, tí ènìyàn mẹ́ta sì jọ́lọ́run nípè ní orílẹ̀-èdè Nàìjíríà,gẹ́gẹ́ bíi ilé iṣẹ́ tó ń…			"
946,Sport,"
			AFCON2021: Ayé Le O! Ikọ̀ Agbábọ́ọ̀lù Cameroon Fìyà To Nípọn Ethiopia (Cameroon 4- 1 Ethiopia)		. 
    
				Ikọ̀ Agbábọ́ọ̀lù Cameroon fi yé ikọ̀ Ethipia pé lákọ làwọn wà  bí ìbọn látàrí bí wọ́n ṣe fi ajáàdí apẹ̀rẹ̀ ru ìyà fún wọn nínú ìfẹsẹ̀wọnsẹ̀ ìsọ̀rí A.

Ami ayo merin si ọkan (4-1) ni esi ifẹsẹwọnsẹ naa. Ikọ Cameroon…			"
665,Nigeria,"
			Àwọn Tí Ìjàmbá Omí Yalé Ṣẹlẹ̀ sí Gbà Ẹ̀bùn Ìṣura Ní Ìpínlẹ̀ Niger.		. 
    
				Àjọ tó mójú tó ọ̀rọ̀ pàjáwìrì ní ìpínlẹ̀ Niger, tí sí jú àánú wo àwọn tí ìjàmbá omí yalé ṣẹlẹ̀ sí nípa fífún wọn ní oríṣiríṣi ẹbùn ìṣura.

Olùdarí àjọ fún òrò pàjáwìrì ní ìpínlẹ̀ Niger,Ahmed Ibrahim Inga, ti bẹ̀rẹ̀ pínpín àwọn èròjá ẹbùn…			"
588,Nigeria,"
			Gọ́mìnà Seyi Makinde Gbé Àbá Ètò Ìṣúná Ọdún 2023 Ka Iwájú Ilé Ìgbìmọ̀ Aṣòfin Ìpínlẹ̀ Ọ̀yọ́ 		. 
    
				Gómìnà Ìpínlẹ̀ Ọ̀yọ́, Seyi Makinde ti gbé àbá ètò ìṣúná ọdún 2023 wá sí iwájú ilé ìgbìmò aṣòfin fún àgbéyẹ̀wò.



Ètò náà tó wáyé ni ilé ìgbìmọ̀ aṣòfin ìpínlẹ̀ Ọ̀yọ́ tó kalẹ sí àgbègbè Agodi ní ìlú ìbàdàn tíì ṣe olú ìlú ìpínlè Ọ̀yọ́ ni…			"
32,Nigeria,"
			Katsina yóò gba ààrẹ Bùhárí lálejò		. 
    
				Ààrẹ Mùhámmádù Bùhárí yóò bẹ̀rẹ̀ iṣẹ́ àbẹ̀wò ọlọ́jọ́ méjì sí ìpínlẹ̀ Kánò,Àrin iwọ̀ oòrùn Nàìjíríà, ní Ọjọ́ọ́bọ̀.

Lákòókò àbẹ̀wò náà, ààrẹ Nàìjíríà yóò ṣe ìfilọ́lẹ̀ àwọn iṣẹ́ àkànṣe tí…			"
235,Nigeria,"
			Agbẹnusọ ilé Ìgbìmọ̀ Aṣojú-ṣòfin Bànújẹ Lóri Ikú Aṣojú Nàìjíríà		. 
    
				Agbẹnusọ ilé ìgbìmọ̀ aṣojú ṣofin, Fẹmi Gbajabiamila tí fí ìbànújẹ rẹ̀ hàn lórí ikú Aṣojú Nàìjíríà sí Spain, Demola Seriki.

 Gbajabiamila sọ pé Ambassador Seriki jẹ́ aṣojú ìjọba ìlú òkèèrè tó ṣoju orílẹ̀-èdè Nàìjíríà pẹ̀lú gbogbo àgbàrá…			"
947,Sport,"
			̀AFCON 2021: Ààrẹ Muhammadu Buhari Kan Sáárá Sí Ikọ̀ Super Eagles Fún Gudugudu Méje Àti…		. 
    
				́Ààrẹ Muhammadu Buhari ti gbóríyìn fún ikọ̀ Super Eagles fún gudugudu méje àti yàyà mẹfà tí wọ́n ṣe nípasẹ̀ bí wọ́n fi ìyà tó nípọn jẹ ikọ̀ Egypt nínú ìfẹsẹ̀wọnsẹ̀ ọjọ́ Is̀ẹ́gun, nínú ìdíje AFCON tó ń lọ lọ́wọ́ ní…			"
398,Health,"
			COVID-19: àwọn ènìyàn márùn-ún -din-làáádọ́sán-án míran tun ti ni arun Corona		. 
    
				Àjọ tó ń gbógun ti ajakalẹ arun ati awọn arun miran lorilẹ ede Naijiria ti sọ pe awọn eniyan márùn-ún -din-làáádọ́sán-án (165)miran tun ni arun COVID-19 lorilẹ ede Naijiria.

 

 



awọn ipinlẹ naa ni :Ipinlẹ…			"
970,World,"
			Orílẹ̀-èdè Belarus Sọ Eléré-ìdárayá Òlímpííkìì Herasimenia Sí Ẹ̀wọ̀n		. 
    
				 

Ilé ẹjọ́ tó kalẹ̀ sí ìlú Minsk ti sọ eléré-ìdárayá àná, awedò, Aliaksandra Herasimenia àti ajajangbara olóṣèlú Alexander Opeykin sì ẹ̀wọ̀n ọdún méjìlá látàrí ìpè tí wọ́n pe láti gbé òté àti ìgbésẹ̀ lé ètò ààbò ìjọba àpapọ…			"
34,Africa,"
			Ethiopia Dúpẹ́ Fún Ìpèsè Nkàn Ètò Ìlera Tó Wọlé Wá		. 
    
				 

Elétò ìlera ní agbègbè Tigray ní ni orílẹ̀-èdè Ethiopia’s ti gbósùbà ràbàndẹ̀ látàrí nkàn ètò ìlera tó wọlé wá sí àgbègbè ibùdó tí ogun yọ lẹ́nu.
Eléyìí wá léyìn ìgbọrà ẹni yé tí wọn bù ọwọ́ lù láàrin ìjọba àpapọ àti ọmọ ogun…			"
233,Nigeria,"
			Àjọ Ọlọ́pàá Pèsè Ààbò Tí Ó Gbépọn Sí Ọ́ọ́fìsì Àjọ Elétò Ìdìbò Ìpínlẹ̀ Kwara		. 
    
				Igbákejì ọ̀gá àgbà fún ọlọ́pàá, ẹka ẹlẹ́ẹ̀kẹjọ (zone 8) tí ó ń darí ìpínlẹ̀ Kogi àti Kwara, AIG Ọlakunle Asafa ti pàsẹ fún adari àjọ ọlọ́pàá ìpínlẹ̀ Kwara CP, Paul Odama láti kó àwọn ẹ̀ṣọ́ aláàbò lọ sí…			"
4,World,"
			Orílè-èdè Cameroon Gbá Ọ̀mìn Pẹ̀lú Orílè-èdè Serbia.		. 
    
				Orílè-èdè Cameroon gbá ayò ọ̀mìn mẹ́ta sí mẹ́ta (3-3) ni ìsọ̀rí G pẹ̀lú orílè-èdè Serbia. nínú ìdíje ife ẹ̀yẹ àgbáyé 2022 tó ń lọ lọ́wọ́ ní pápá ìseré Al Janoub ní ìlú Al Wakrah, orílè-èdè Qatar.


Egbé agbábọ́ọ̀lù Indomitable Lions ti…			"
43,Sport,"
			Indian 2022: Ẹgbẹ́ agbábọ̀ọ̀lù Obìnrin Orílẹ̀-èdè Nàìjíríà (U-17) gbìyànjú ṣùgbọ́n omí pọ̀ ju ọkà lọ…		. 
    
				Ẹgbẹ́ agbabọọlu Obirin U-17 ti Naijiria, Flamingos, ti já kúrò nínú ìdíje FIFA U-17 ife àgbáyé, ọdún 2022 nipasẹ fífi ìdí rẹ mi nínú eré bọọlu pẹlu awọn agbábọ̀ọ̀lù Colombia wọn gbìyànjú diẹ ṣugbọn ìgbìyànjú wọn kò tó, won jẹ àmì ayo mẹfa…			"
424,Africa,"
			Abẹ́rẹ́ Èbólà Dé Sí Uganda Fún Ìdánrawò		. 
    
				 

Orílẹ̀-èdè Uganda ti ri ẹgbẹ̀fà abẹ́rẹ́ Èbólà gba fún ìdánrawò tí Sudan strain ti Èbólà.

 

Ìròyìn rò pé, méjilélógóje ti Sudan strain ti Èbólà ti wà, maírùnléládọ̀ta ènìyàn ti jẹ́ ọlọ́rùn ní ìpè nígbàtí wọ́n ti kéde…			"
32,World,"
			Ife Àgbáyé: Ẹgbẹ́ agbábọ̀ọ̀lù Germany jẹ ìyà wòtòwòtò lọ́wọ Ẹgbẹ́ agbábọ̀ọ̀lù Japan		. 
    
				Ẹgbẹ́ agbábọ̀ọ̀lù Japan fi ìyà sẹ àwọn Ẹgbẹ́ agbábọ̀ọ̀lù Germany lọ́wọ́, pẹlu àmì ayò meji seyọkan


O da bi àlá loju àwọn Germany sùgbọ́n àlá kọ́,
Ẹgbẹ́ agbábọ̀ọ̀lù Germany lo kọkọ mi àwọ̀n pẹlu àmì ayò Kan, ki Japan to da pada fun wọn…			"
70,Sport,"
			Mínísítà Fún Àwọn Ọdọ Àtí Ètò Ìdárayá Gboriyin Rabandẹ Fún Obi Mikel Lórí Ìfẹyìntì Rẹ̀		. 
    
				Mínísítà fún àwọn ọdọ àti Ìdàgbàsókè Eré-ìdárayá tí Nàìjíríà, Hon. Sunday Dare tí gboriyin fún àkọní ọmọ ẹgbẹ́ agbábọ́ọ̀lù Super Eagles nìgbàkànrí, John Mikel Obi, ẹní tó jáwé olúbórí níbí ìdíjé AFCON 2013 bó ṣe fẹyìntí lórí…			"
21,Africa,"
			Àdó Olóró Bú Gbàmù Ní Orílẹ̀-èdè Somalia		. 
    
				O kéré jù ènìyàn mẹsan, pẹ̀lú awọn ọmọde, kù nínú ikọlù ọkọ ayọkẹlẹ méjì tó dojú kọ ilé-iṣẹ́ ètò-ẹ̀kọ́ Somalia ní Olú-ìlú Mogadishu.

 Àwọn ọkọ ayọkẹlẹ méjèèjì náà dùn leralera nítòsí Zobe, tí iro ìbọn sí bẹ̀rẹ̀ sí dùn ní kíkàn kíkàn…			"
475,Nigeria,"
			Ìyàwó Gómìnà Ìpínlẹ̀ Kwara Ṣètò Oúnjẹ Lọ́ Sí Ilé-iṣẹ́ àtúnṣe		. 
    
				Ìyàwó Gómìnà tí ìpínlẹ̀ Kwara àti Olùdásílẹ̀, Ajike People Support Centre, Ambassador Dr. Olufolake Abdulrazaq, tí ṣé àbẹwò sí ilé-iṣẹ́ àtúnṣe tí ìpínlẹ̀ Kwara, ní Amoyo, níbí tó tí fún wọ́n ní oúnjẹ àti àwọn nkán pàtàkì mìíràn.

 Ìyá…			"
