,Unnamed: 0,categories,text
0,0.0,Africa,"
			Abẹ́rẹ́ Àjẹsára ààrun ìgbẹ́ gbuuru tán mọ́ Malawí lọ́wọ́		. 
    
				Àjàkálẹ̀-ààrùn ìgbẹ́ gbuuru tí ó burú jùlọ lọ́dún mẹ́wàá sẹ́yìn ti ba orílẹ̀-èdè Malawí, ní èyí tí ó fa gbígba abẹ́rẹ́ àjẹsára ṣùgbọ́n tí a gbọ́ pé ó ti fẹ́rẹ̀ tán. 

Gẹ́gẹ́ bí ìròyìn agbègbè,…			"
3,3.0,Africa,"
			Àwọn Òṣìṣẹ́ Ojú-pópó Orílẹ̀-èdè Senegal Yànṣẹ́ Lòdì Lórí Ààbò Ojú Ọ̀nà		. 
    
				Ẹ̀ka ìrìna tí Orílẹ̀-èdè Senegal pẹ̀lú àwọn ẹgbẹ́ lẹ́kà náà tí darapọ̀ lórí iyànṣẹ́ lòdì látí takò ìgbésẹ ìjọba látí dẹkùn àwọn ìjàmbá ojú pópó. Èyí ló wáyé lẹ́yìn ìjàmbá ọkọ tó ṣẹ̀lẹ̀ ní Kaffrine.

Ṣùgbọ́n, àpá kàn nínú àwọn olufẹhonu…			"
4,4.0,Africa,"
			Àjọ Tí Ó Ń Pèpè Àlàáfíà Sàwárí Àsinpọ̀ Òkú Ní Orílẹ̀ Èdè Congo		. 
    
				Àjọ tí ó ń pèpè àlàáfíà ní orílẹ̀ èdè Congo ti sàwárí ibojì òkú lọ́pọ̀ yanturu

 

Ìròyìn fi yéwa pé ìsàwárí náà wáyé lẹ́yìn ọ̀pọ̀lọpọ̀ àkọlù ní àgbègbè Ituri.

Agbenusọ ikọ̀ àgbáyé, Farhan…			"
6,6.0,Africa,"
			Àjọ UN Pé Ìpè Fún Ìdásílẹ̀ Àwọn Obìnrin Tí Wọ́n Jígbé Ní Orílẹ̀-èdè Burkina Faso		. 
    
				 

Àjọ UN, àgbáríjọpọ̀ àwọn orílẹ̀-èdè, àti orílẹ̀-èdè Faranse ti pè fún ìdásílẹ̀ ní kíámọ́sá láì gba ohunkóhun kankan àwọn ọ̀pọ̀lọpọ̀ Obìnrin tí wọ́n Jígbé ní orílẹ̀-èdè Burkina Faso ní ọjọ́ Kejìlá àti ọjọ́ kẹtàlá oṣù yìí.…			"
9,9.0,Africa,"
			Orílẹ̀ Èdè France Àti Germany Pè Fún Ìdájọ́ Òdodo Ní Ilẹ̀ Ethopia		. 
    
				Asojú orílẹ̀ èdè France àti Germany tí ó wà ní orílẹ̀ èdè Ethopia ti fi léde pé, àsọyépọ̀ kò le è wáyé láì fi ìdájọ́ òdodo rinlẹ̀ láàrin àwọn tí ọ̀rọ̀ kàn ní orílẹ̀ èdè náà.

 

Wọ́n sọ̀rọ̀ ní…			"
11,11.0,Africa,"
			Adiro Ìdáná Tuntun Tí Ilẹ̀ Kenya Gbà Àmì Ẹyẹ $1.2M		. 
    
				Olùdásílẹ̀ Adiro ìdáná tuntun ""Mukuru Clean"" ní orílẹ̀-èdè Kenya Charlot Magayi, gbá ẹbùn owó mílíọ̀nù Kàn lé díẹ̀ dọla lọ́wọ́ Ọmọ Ọba Ilẹ̀ Gèésì William ní ìdíje ""Earthshot Prize Award.""

 Àwọn adiro Mukuru náà ní àgbà lérò pé yóò jẹ́…			"
12,12.0,Africa,"
			Ààrẹ Buhari Fi Ìpìlẹ̀ Ọ́ọ́fìsì Àpapọ̀ ECOWAS Lélẹ̀ Ní Ìlú Abuja		. 
    
				Ààrẹ Buhari ti orílẹ̀ èdè Nàìjíríà ti ṣe ìfilọ́lẹ̀ ìpìlẹ̀  ọ́ọ́fìsì àpapọ̀ àjọ ECOWAS  ní ìlú Abuja, olú ìlú orílẹ̀ èdè Nàìjíríà.

 

Ààrẹ, ẹni tí ààrẹ  Umaro Embalo ti orílẹ̀ èdè Guinea Bussau ati…			"
14,14.0,Africa,"
			Namibia yan olùdíje ààrẹ bìnrin ní ìgbà àkọ́kọ́ fún ọdún 2024		. 
    
				Igbákejì olórí ìjọba Namibia, Netumbo Nandi-Ndaitwah ti súnmọ́ láti di ààrẹ bìnrin àkọ́kọ́ gúsù iwọ̀ oòrùn orílẹ̀-èdè.

Ẹgbẹ́ òṣèlú tó ń ṣàkóso lọ́wọ́ báyìí ti yan Nandi-Ndaitwah gẹ́gẹ́  bí igbákejì ààrẹ…			"
15,15.0,Africa,"
			Ìkọwọ́ Àwọn UN Ń Ṣèéto Kanmọ Nkobó Nipa Ìdìbò – Òṣìṣẹ́ Libya		. 
    
				Ọkàn nínú àwọn abẹnugọ Òṣìṣẹ́ Lybia gbá UN l'ámọran làti bá àwọn Alátakò ṣé ìpàdé pọ pẹ̀lú àwọn Ìgbìmọ to n mojuto ìdìbò lórí àti tètè bẹ̀rẹ̀ òfin fún ìbò didi.

 

 

Aguila Saleh, Ẹléyìnlóhùn Aṣofin orísun ìwọ Òòrùn Libya…			"
16,16.0,Africa,"
			Gbógbo Ẹkùn Ní Ìdojúkọ Omi Tí Ó Kọjáàlá Ni 2021		. 
    
				 

Gbógbo Ẹkùn ní àgbáyé ní wọ́n ní Ìdojúkọ Omi tí ó kọjá àlá ní ọdún tó kọjá, pàápàá julọ Omiyále àti Iyangbẹ-Ilẹ̀, ogunlọgọ ènìyàn ní wọ́n dojú kọ ìṣòro Omi ti ko mọ tó, igbimọ gbogboogbo ti orilẹ-ede Agbaye ló jẹ́ kí eléyìí dì…			"
